,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_vold og forulemping av offentlig tjenestemann,1,aggravating_vold og forulemping av offentlig tjenestemann,aggravating,vold og forulemping av offentlig tjenestemann,violence and harassment of public officials,violation,official
aggravating_mer omfattende og brutal voldsutøvelse,1,aggravating_mer omfattende og brutal voldsutøvelse,aggravating,mer omfattende og brutal voldsutøvelse,more extensive and brutal violence,life_health,violence
aggravating_alkoholpåvirkning,1,aggravating_alkoholpåvirkning,aggravating,alkoholpåvirkning,alcohol influence,intoxication,
aggravating_stor fare for omgivelsene,1,aggravating_stor fare for omgivelsene,aggravating,stor fare for omgivelsene,great danger to the environment,violation,danger_to_environment
aggravating_ikke stoppet for politiet,1,aggravating_ikke stoppet for politiet,aggravating,ikke stoppet for politiet,did not stop for the police,driving,failed_to_stop
aggravating_særlig høy promille,1,aggravating_særlig høy promille,aggravating,særlig høy promille,particularly high alcohol content,intoxication,
aggravating_særlig høye konsentrasjoner av alkohol over 2 promille i blodet,1,aggravating_særlig høye konsentrasjoner av alkohol over 2 promille i blodet,aggravating,særlig høye konsentrasjoner av alkohol over 2 promille i blodet,particularly high concentrations of alcohol above 2 per thousand in the blood,intoxication,
aggravating_særlig farlige,1,aggravating_særlig farlige,aggravating,særlig farlige,particularly dangerous,DELETE,
aggravating_overgrepene skjedde i hjemmet,1,aggravating_overgrepene skjedde i hjemmet,aggravating,overgrepene skjedde i hjemmet,the assaults took place in the home,place,private
aggravating_angst og søvnproblemer,1,aggravating_angst og søvnproblemer,aggravating,angst og søvnproblemer,anxiety and sleep problems,DELETE,
aggravating_fornærmede har medført stor utrygghet,1,aggravating_fornærmede har medført stor utrygghet,aggravating,fornærmede har medført stor utrygghet,The victim has caused a great deal of insecurity,life_health,psychological
aggravating_fornærmede var særlig sårbar,1,aggravating_fornærmede var særlig sårbar,aggravating,fornærmede var særlig sårbar,The victim was particularly vulnerable,victim,vulnerable
aggravating_tiltalte er fornærmedes stefar,1,aggravating_tiltalte er fornærmedes stefar,aggravating,tiltalte er fornærmedes stefar,the defendant is the victim's stepfather,victim,relationship
aggravating_seksualisert omtale,1,aggravating_seksualisert omtale,aggravating,seksualisert omtale,sexualized mention,DELETE,
aggravating_påfallende atferd,1,aggravating_påfallende atferd,aggravating,påfallende atferd,conspicuous behavior,DELETE,
aggravating_familiær relasjon,1,aggravating_familiær relasjon,aggravating,familiær relasjon,familial relationship,victim,relationship
aggravating_kjøring uten gyldige kjennemerker,1,aggravating_kjøring uten gyldige kjennemerker,aggravating,kjøring uten gyldige kjennemerker,driving without valid license plates,driving,license_plate
aggravating_unnlot å stoppe for kontroll,1,aggravating_unnlot å stoppe for kontroll,aggravating,unnlot å stoppe for kontroll,failed to stop for inspection,driving,failed_to_stop
aggravating_trafikkulykke,1,aggravating_trafikkulykke,aggravating,trafikkulykke,traffic accident,driving,accident
aggravating_tidligere overtredelse,1,aggravating_tidligere overtredelse,aggravating,tidligere overtredelse,previous violation,repeated_offense,
aggravating_kjøring over lange strekninger,1,aggravating_kjøring over lange strekninger,aggravating,kjøring over lange strekninger,driving over long distances,driving,distance
aggravating_alvorlig voldsutøvelse,1,aggravating_alvorlig voldsutøvelse,aggravating,alvorlig voldsutøvelse,serious violence,life_health,violence
aggravating_sadistiske og seksuelle elementer,1,aggravating_sadistiske og seksuelle elementer,aggravating,sadistiske og seksuelle elementer,sadistic and sexual elements,severe,abuse
aggravating_inntak av rusmidler uten lovlig adkomst,1,aggravating_inntak av rusmidler uten lovlig adkomst,aggravating,inntak av rusmidler uten lovlig adkomst,consumption of drugs without legal access,drugs,
aggravating_forsettlig overtredelse,1,aggravating_forsettlig overtredelse,aggravating,forsettlig overtredelse,willful infringement,DELETE,
aggravating_allmennprevensjon,1,aggravating_allmennprevensjon,aggravating,allmennprevensjon,general contraception,DELETE,
aggravating_sårbar hund,1,aggravating_sårbar hund,aggravating,sårbar hund,vulnerable dog,DELETE,
aggravating_oppbevaring og besittelse av narkotika,1,aggravating_oppbevaring og besittelse av narkotika,aggravating,oppbevaring og besittelse av narkotika,storage and possession of drugs,drugs,storage
aggravating_betydelig belastning for polititjenestepersoner,1,aggravating_betydelig belastning for polititjenestepersoner,aggravating,betydelig belastning for polititjenestepersoner,considerable burden on police officers,DELETE,
aggravating_betydelig samfunnsproblem,1,aggravating_betydelig samfunnsproblem,aggravating,betydelig samfunnsproblem,significant social problem,DELETE,
aggravating_stort farepotensiale,1,aggravating_stort farepotensiale,aggravating,stort farepotensiale,great danger potential,DELETE,
aggravating_kjøring over flere mil,1,aggravating_kjøring over flere mil,aggravating,kjøring over flere mil,driving over several miles,driving,distance
aggravating_bruk av kjøretøy i uforsvarlig stand,1,aggravating_bruk av kjøretøy i uforsvarlig stand,aggravating,bruk av kjøretøy i uforsvarlig stand,use of a vehicle in an unsafe condition,driving,state_of_vehicle
aggravating_spredningsfaren er stor,1,aggravating_spredningsfaren er stor,aggravating,spredningsfaren er stor,the risk of spreading is great,DELETE,
aggravating_uprovosert vold,1,aggravating_uprovosert vold,aggravating,uprovosert vold,unprovoked violence,severe,unprovoked
aggravating_fornærmede ble oppsøkt i eget hjem,1,aggravating_fornærmede ble oppsøkt i eget hjem,aggravating,fornærmede ble oppsøkt i eget hjem,The victim was approached in his own home,place,private
aggravating_omfang og hyppighet,1,aggravating_omfang og hyppighet,aggravating,omfang og hyppighet,extent and frequency,severe,long_time
aggravating_seksuell relasjon med mindreårig,1,aggravating_seksuell relasjon med mindreårig,aggravating,seksuell relasjon med mindreårig,sexual relationship with a minor,victim,underaged
aggravating_flere skjerpende omstendigheter,1,aggravating_flere skjerpende omstendigheter,aggravating,flere skjerpende omstendigheter,several aggravating circumstances,DELETE,
aggravating_kjøring på mye trafikkert vei,1,aggravating_kjøring på mye trafikkert vei,aggravating,kjøring på mye trafikkert vei,driving on a heavily trafficked road,driving,busy
aggravating_lang kjøreavstand,1,aggravating_lang kjøreavstand,aggravating,lang kjøreavstand,long driving distance,driving,distance
aggravating_personskade,1,aggravating_personskade,aggravating,personskade,personal injury,DELETE,
aggravating_flere ruspåvirkede kjøringer,1,aggravating_flere ruspåvirkede kjøringer,aggravating,flere ruspåvirkede kjøringer,more driving under the influence of drugs,driving,drugs
aggravating_unndratt seg kontroll av politiet,1,aggravating_unndratt seg kontroll av politiet,aggravating,unndratt seg kontroll av politiet,eluded police control,violation,evasion
aggravating_svært høy promille ved kjøringen,1,aggravating_svært høy promille ved kjøringen,aggravating,svært høy promille ved kjøringen,very high blood alcohol level when driving,driving,intoxication
aggravating_utnyttelse av fysisk overlegenhet,1,aggravating_utnyttelse av fysisk overlegenhet,aggravating,utnyttelse av fysisk overlegenhet,exploitation of physical superiority,victim,power
aggravating_advarte fornærmede fra å kontakte politiet,1,aggravating_advarte fornærmede fra å kontakte politiet,aggravating,advarte fornærmede fra å kontakte politiet,warned the victim not to contact the police,violation,prevented_victim_contact_police
aggravating_hastighetsoverskridelsen,1,aggravating_hastighetsoverskridelsen,aggravating,hastighetsoverskridelsen,speeding,driving,speed
aggravating_overgrep av familiemedlem,1,aggravating_overgrep av familiemedlem,aggravating,overgrep av familiemedlem,abuse by a family member,victim,relationship
aggravating_grovheten og omfanget av handlingene,1,aggravating_grovheten og omfanget av handlingene,aggravating,grovheten og omfanget av handlingene,the severity and extent of the acts,DELETE,
aggravating_kjøring av bil i ustand,1,aggravating_kjøring av bil i ustand,aggravating,kjøring av bil i ustand,driving a car in disrepair,driving,state_of_vehicle
aggravating_krenkende og seksualisert omtale,1,aggravating_krenkende og seksualisert omtale,aggravating,krenkende og seksualisert omtale,abusive and sexualized comments,violation,sexual_comments
aggravating_bruk av motorvogn uten påsatte kjennemerker,1,aggravating_bruk av motorvogn uten påsatte kjennemerker,aggravating,bruk av motorvogn uten påsatte kjennemerker,use of a motor vehicle without affixed identification plates,driving,license_plate
aggravating_tyverier mot mange fornærmede,1,aggravating_tyverier mot mange fornærmede,aggravating,tyverier mot mange fornærmede,thefts against many victims,severe,several_victims
aggravating_profesjonelt utført,1,aggravating_profesjonelt utført,aggravating,profesjonelt utført,professionally done,organized,
aggravating_tyverier av en viss verdi,1,aggravating_tyverier av en viss verdi,aggravating,tyverier av en viss verdi,thefts of a certain value,DELETE,
aggravating_farlige forbikjøringer,1,aggravating_farlige forbikjøringer,aggravating,farlige forbikjøringer,dangerous overtaking,driving,reckless
aggravating_trafikkfarlig atferd,1,aggravating_trafikkfarlig atferd,aggravating,trafikkfarlig atferd,dangerous traffic behaviour,driving,reckless
aggravating_forstyrrelse av ro og orden,1,aggravating_forstyrrelse av ro og orden,aggravating,forstyrrelse av ro og orden,disturbance of peace and order,violation,disorderly
aggravating_bruk av farlige redskaper,1,aggravating_bruk av farlige redskaper,aggravating,bruk av farlige redskaper,use of dangerous tools,object,dangerous
aggravating_trusler mot mindreårig,1,aggravating_trusler mot mindreårig,aggravating,trusler mot mindreårig,threats against minors,victim,underaged
aggravating_bilder og film av overgrep,1,aggravating_bilder og film av overgrep,aggravating,bilder og film av overgrep,images and film of abuse,violation,filming
aggravating_planlegging,1,aggravating_planlegging,aggravating,planlegging,planning,premeditated,
aggravating_oppsøkte fornærmede på hans arbeidsplass,1,aggravating_oppsøkte fornærmede på hans arbeidsplass,aggravating,oppsøkte fornærmede på hans arbeidsplass,visited the victim at his workplace,place,work
aggravating_betydelig promille,1,aggravating_betydelig promille,aggravating,betydelig promille,significant blood alcohol level,intoxication,
aggravating_vold og trusler mot to politibetjenter,1,aggravating_vold og trusler mot to politibetjenter,aggravating,vold og trusler mot to politibetjenter,violence and threats against two police officers,violation,official
aggravating_seksuell omgang med et forsvarsløst offer,1,aggravating_seksuell omgang med et forsvarsløst offer,aggravating,seksuell omgang med et forsvarsløst offer,sexual intercourse with a defenseless victim,victim,power
aggravating_grove skildringer av seksuelle overgrep,1,aggravating_grove skildringer av seksuelle overgrep,aggravating,grove skildringer av seksuelle overgrep,gross depictions of sexual abuse,violation,depictions_sexual_abuse
aggravating_særlig alvorlig,1,aggravating_særlig alvorlig,aggravating,særlig alvorlig,particularly serious,DELETE,
aggravating_svart økonomi,1,aggravating_svart økonomi,aggravating,svart økonomi,black economy,DELETE,
aggravating_utnyttelse av sårbare ofre,1,aggravating_utnyttelse av sårbare ofre,aggravating,utnyttelse av sårbare ofre,exploitation of vulnerable victims,victim,vulnerable
aggravating_voldsutøvelsen pågikk over en viss tid,1,aggravating_voldsutøvelsen pågikk over en viss tid,aggravating,voldsutøvelsen pågikk over en viss tid,the violence continued over a certain period of time,severe,long_time
aggravating_oppbevaring på offentlig sted,1,aggravating_oppbevaring på offentlig sted,aggravating,oppbevaring på offentlig sted,storage in a public place,place,public
aggravating_prøveløslatelse,1,aggravating_prøveløslatelse,aggravating,prøveløslatelse,parole,DELETE,
aggravating_lav terskel for å begå vold,1,aggravating_lav terskel for å begå vold,aggravating,lav terskel for å begå vold,low threshold for committing violence,DELETE,
aggravating_farepotensialet betydelig,1,aggravating_farepotensialet betydelig,aggravating,farepotensialet betydelig,the danger potential is considerable,DELETE,
aggravating_profesjonelt produksjonsanlegg,1,aggravating_profesjonelt produksjonsanlegg,aggravating,profesjonelt produksjonsanlegg,professional production facility,organized,
aggravating_produksjon av narkotika,1,aggravating_produksjon av narkotika,aggravating,produksjon av narkotika,production of drugs,drugs,production
aggravating_planlagt fremgangsmåte,1,aggravating_planlagt fremgangsmåte,aggravating,planlagt fremgangsmåte,planned procedure,premeditated,
aggravating_mange mennesker til stede,1,aggravating_mange mennesker til stede,aggravating,mange mennesker til stede,many people present,DELETE,
aggravating_alvorlig vold med kroppsskade,1,aggravating_alvorlig vold med kroppsskade,aggravating,alvorlig vold med kroppsskade,serious violence with bodily harm,life_health,
aggravating_krenkende syn på kvinner,1,aggravating_krenkende syn på kvinner,aggravating,krenkende syn på kvinner,offensive view of women,hate_crime,
aggravating_nedlatende fordommer,1,aggravating_nedlatende fordommer,aggravating,nedlatende fordommer,condescending prejudices,hate_crime,
aggravating_ringeakt,1,aggravating_ringeakt,aggravating,ringeakt,callous,DELETE,
aggravating_videreformidling av materialet,1,aggravating_videreformidling av materialet,aggravating,videreformidling av materialet,dissemination of the material,violation,sharing_abuse_material
aggravating_barn i bilen,1,aggravating_barn i bilen,aggravating,barn i bilen,children in the car,driving,children
aggravating_forsøk på kroppsskade,1,aggravating_forsøk på kroppsskade,aggravating,forsøk på kroppsskade,attempted bodily harm,life_health,
aggravating_varer bestemt til omsetning,1,aggravating_varer bestemt til omsetning,aggravating,varer bestemt til omsetning,goods intended for sale,cause,personal_gain
aggravating_høy grad av ruspåvirkning,1,aggravating_høy grad av ruspåvirkning,aggravating,høy grad av ruspåvirkning,high degree of drug addiction,drugs,
aggravating_bruk av våpen på offentlig sted,1,aggravating_bruk av våpen på offentlig sted,aggravating,bruk av våpen på offentlig sted,use of weapons in a public place,object,weapon
aggravating_planmessige,1,aggravating_planmessige,aggravating,planmessige,planned,premeditated,
aggravating_svært farlige,1,aggravating_svært farlige,aggravating,svært farlige,very dangerous,DELETE,
aggravating_utnyttet et omsorgs- og tillitsforhold,1,aggravating_utnyttet et omsorgs- og tillitsforhold,aggravating,utnyttet et omsorgs- og tillitsforhold,exploited a relationship of care and trust,trust,
aggravating_forårsaket betydelig skade,1,aggravating_forårsaket betydelig skade,aggravating,forårsaket betydelig skade,caused significant damage,severe,damage
aggravating_kroppskrenkelse mot to personer,1,aggravating_kroppskrenkelse mot to personer,aggravating,kroppskrenkelse mot to personer,bodily harm against two persons,life_health,
aggravating_hatfulle ytringer,1,aggravating_hatfulle ytringer,aggravating,hatfulle ytringer,hate speech,hate_crime,
aggravating_forulempinger av offentlig tjenestepersoner,1,aggravating_forulempinger av offentlig tjenestepersoner,aggravating,forulempinger av offentlig tjenestepersoner,harassment of public servants,violation,official
aggravating_grovere trusler,1,aggravating_grovere trusler,aggravating,grovere trusler,more serious threats,threats,
aggravating_voldsepisoder på offentlig sted,1,aggravating_voldsepisoder på offentlig sted,aggravating,voldsepisoder på offentlig sted,incidents of violence in public places,place,public
aggravating_trusler mot barn,1,aggravating_trusler mot barn,aggravating,trusler mot barn,threats to children,threats,children
aggravating_kontroll av offer,1,aggravating_kontroll av offer,aggravating,kontroll av offer,control of victims,severe,abuse
aggravating_familie til stede,1,aggravating_familie til stede,aggravating,familie til stede,family present,severe,family_present
aggravating_utnyttelse av sårbarhet,1,aggravating_utnyttelse av sårbarhet,aggravating,utnyttelse av sårbarhet,exploitation of vulnerability,victim,vulnerable
aggravating_inntak av narkotika over straffbarhetsgrensen,1,aggravating_inntak av narkotika over straffbarhetsgrensen,aggravating,inntak av narkotika over straffbarhetsgrensen,consumption of drugs above the criminal limit,drugs,consumption
aggravating_kjøring forbi vegsperring,1,aggravating_kjøring forbi vegsperring,aggravating,kjøring forbi vegsperring,driving past roadblocks,violation,evasion
aggravating_betydelig skade,1,aggravating_betydelig skade,aggravating,betydelig skade,significant damage,severe,damage
aggravating_umotivert vold,1,aggravating_umotivert vold,aggravating,umotivert vold,gratuitous violence,life_health,violence
aggravating_likhetshensynet,1,aggravating_likhetshensynet,aggravating,likhetshensynet,the consideration of equality,DELETE,
aggravating_hensynet til trafikksikkerheten,1,aggravating_hensynet til trafikksikkerheten,aggravating,hensynet til trafikksikkerheten,consideration of traffic safety,DELETE,
aggravating_brudd på trafikkreglene,1,aggravating_brudd på trafikkreglene,aggravating,brudd på trafikkreglene,violation of traffic rules,driving,road_traffic_act
aggravating_forskjell på tiltalte og fornærmede i fysisk forstand,1,aggravating_forskjell på tiltalte og fornærmede i fysisk forstand,aggravating,forskjell på tiltalte og fornærmede i fysisk forstand,difference between defendant and victim in a physical sense,victim,power
aggravating_bruk og besittelse av narkotika,1,aggravating_bruk og besittelse av narkotika,aggravating,bruk og besittelse av narkotika,use and possession of drugs,drugs,consumption
aggravating_bæring av våpenetterligning og kniv på offentlig sted,1,aggravating_bæring av våpenetterligning og kniv på offentlig sted,aggravating,bæring av våpenetterligning og kniv på offentlig sted,carrying imitation weapons and a knife in a public place,object,knife
aggravating_ulovlig innehatt ammunisjon,1,aggravating_ulovlig innehatt ammunisjon,aggravating,ulovlig innehatt ammunisjon,illegally possessed ammunition,object,weapon
aggravating_hjemmet,1,aggravating_hjemmet,aggravating,hjemmet,the home,DELETE,
aggravating_kjøring over ikke betydelige distanser,1,aggravating_kjøring over ikke betydelige distanser,aggravating,kjøring over ikke betydelige distanser,driving over not significant distances,driving,distance
aggravating_i felles hjem,1,aggravating_i felles hjem,aggravating,i felles hjem,in a shared home,DELETE,
aggravating_samlivsproblem,1,aggravating_samlivsproblem,aggravating,samlivsproblem,cohabitation problem,DELETE,
aggravating_begått fra privatpersoner i forretninger,1,aggravating_begått fra privatpersoner i forretninger,aggravating,begått fra privatpersoner i forretninger,committed by private individuals in business,organized,
aggravating_vesentlig mer alvorlig resultat kunne ha blitt følgen,1,aggravating_vesentlig mer alvorlig resultat kunne ha blitt følgen,aggravating,vesentlig mer alvorlig resultat kunne ha blitt følgen,significantly more serious results could have resulted,life_health,
aggravating_passasjer med i bilen,1,aggravating_passasjer med i bilen,aggravating,passasjer med i bilen,passenger in the car,driving,passengers
aggravating_flere påfølgende voldshandlinger,1,aggravating_flere påfølgende voldshandlinger,aggravating,flere påfølgende voldshandlinger,several subsequent acts of violence,violation,violence
aggravating_krasjet med politibil,1,aggravating_krasjet med politibil,aggravating,krasjet med politibil,crashed with a police car,driving,accident
aggravating_kjøretur over lengre strekning,1,aggravating_kjøretur over lengre strekning,aggravating,kjøretur over lengre strekning,drive over a longer distance,driving,distance
aggravating_tidligere straffet for voldsutøvelse,1,aggravating_tidligere straffet for voldsutøvelse,aggravating,tidligere straffet for voldsutøvelse,previously punished for violence,repeated_offense,
aggravating_voldsutøvelse ved bruk av våpen,1,aggravating_voldsutøvelse ved bruk av våpen,aggravating,voldsutøvelse ved bruk av våpen,violence with the use of weapons,object,weapon
aggravating_passasjer under ruspåvirkning,1,aggravating_passasjer under ruspåvirkning,aggravating,passasjer under ruspåvirkning,passengers under the influence of drugs,DELETE,
aggravating_passasjer under kjøreturen,1,aggravating_passasjer under kjøreturen,aggravating,passasjer under kjøreturen,passenger during the drive,DELETE,
mitigating_risiko for gjengjeldelse,1,mitigating_risiko for gjengjeldelse,mitigating,risiko for gjengjeldelse,risk of retaliation,DELETE,
mitigating_bidrag til oppklaring av andre lovbrudd,1,mitigating_bidrag til oppklaring av andre lovbrudd,mitigating,bidrag til oppklaring av andre lovbrudd,contribution to solving other offences,confession,aided_law_enforcement
mitigating_avhengighetsforhold,1,mitigating_avhengighetsforhold,mitigating,avhengighetsforhold,dependency relationship,cause,dependence
mitigating_handlet under et visst press,1,mitigating_handlet under et visst press,mitigating,handlet under et visst press,acted under some pressure,cause,pressure
mitigating_ikke sentral rolle,1,mitigating_ikke sentral rolle,mitigating,ikke sentral rolle,not central role,minor,role
mitigating_gjengjeldelse,1,mitigating_gjengjeldelse,mitigating,gjengjeldelse,retaliation,cause,retaliation
mitigating_provokasjoner,1,mitigating_provokasjoner,mitigating,provokasjoner,provocations,cause,provoked
mitigating_langvarig rusmisbruk,1,mitigating_langvarig rusmisbruk,mitigating,langvarig rusmisbruk,long-term substance abuse,mental,substance_abuse
mitigating_impulsivitet,1,mitigating_impulsivitet,mitigating,impulsivitet,impulsivity,mental,impulsive
mitigating_tiltaltes begrensede egeninteresse i bedrageriet,1,mitigating_tiltaltes begrensede egeninteresse i bedrageriet,mitigating,tiltaltes begrensede egeninteresse i bedrageriet,defendant's limited self-interest in the fraud,minor,limited_self_interest
mitigating_til eget bruk,1,mitigating_til eget bruk,mitigating,til eget bruk,for own use,minor,personl_use
mitigating_handlet i uaktsom rettsuvitenhet,1,mitigating_handlet i uaktsom rettsuvitenhet,mitigating,handlet i uaktsom rettsuvitenhet,acted in negligent ignorance of the law,minor,ignorant
mitigating_salg for å finansiere eget misbruk,1,mitigating_salg for å finansiere eget misbruk,mitigating,salg for å finansiere eget misbruk,sales to finance own abuse,DELETE,
mitigating_avtale om nedbetaling,1,mitigating_avtale om nedbetaling,mitigating,avtale om nedbetaling,agreement on repayment,amends,
mitigating_samarbeidet med politi og påtalemyndighet,1,mitigating_samarbeidet med politi og påtalemyndighet,mitigating,samarbeidet med politi og påtalemyndighet,cooperation with the police and the prosecution,confession,aided_law_enforcement
mitigating_uaktsom rettsvillfarelse,1,mitigating_uaktsom rettsvillfarelse,mitigating,uaktsom rettsvillfarelse,negligent miscarriage of justice,DELETE,
mitigating_rusbruk,1,mitigating_rusbruk,mitigating,rusbruk,drug use,mental,substance_abuse
mitigating_ung og tidligere ustraffet,1,mitigating_ung og tidligere ustraffet,mitigating,ung og tidligere ustraffet,young and previously unpunished,no_previous_conviction,
mitigating_vanskelig oppvekst,1,mitigating_vanskelig oppvekst,mitigating,vanskelig oppvekst,difficult upbringing,burden,difficult_context
mitigating_dårlig psykisk helse,1,mitigating_dårlig psykisk helse,mitigating,dårlig psykisk helse,poor mental health,mental,
mitigating_erkjennelse av de straffbare forholdene,1,mitigating_erkjennelse av de straffbare forholdene,mitigating,erkjennelse av de straffbare forholdene,recognition of the punishable conditions,confession,
mitigating_kontroll over rusbruk,1,mitigating_kontroll over rusbruk,mitigating,kontroll over rusbruk,control over drug use,DELETE,
mitigating_personlige økonomiske forhold,1,mitigating_personlige økonomiske forhold,mitigating,personlige økonomiske forhold,personal financial circumstances,burden,financial
mitigating_saksbehandlingsfeil,1,mitigating_saksbehandlingsfeil,mitigating,saksbehandlingsfeil,case management error,DELETE,
mitigating_betalt tilbake deler av beløpet,1,mitigating_betalt tilbake deler av beløpet,mitigating,betalt tilbake deler av beløpet,paid back part of the amount,amends,
mitigating_erkjennelse av de faktiske forhold,1,mitigating_erkjennelse av de faktiske forhold,mitigating,erkjennelse av de faktiske forhold,recognition of the actual conditions,confession,
mitigating_tiltaltes erkjennelse,1,mitigating_tiltaltes erkjennelse,mitigating,tiltaltes erkjennelse,defendant's confession,confession,
mitigating_provokasjon,1,mitigating_provokasjon,mitigating,provokasjon,provocation,cause,provoked
mitigating_beklaget hendelsen,1,mitigating_beklaget hendelsen,mitigating,beklaget hendelsen,regretted the incident,confession,regret
mitigating_truslene ikke fremsatt direkte,1,mitigating_truslene ikke fremsatt direkte,mitigating,truslene ikke fremsatt direkte,the threats not made directly,DELETE,
mitigating_bevissthetsforstyrrelse,1,mitigating_bevissthetsforstyrrelse,mitigating,bevissthetsforstyrrelse,disturbance of consciousness,confession,regret
mitigating_provokasjon/gjengjeldelse,1,mitigating_provokasjon/gjengjeldelse,mitigating,provokasjon/gjengjeldelse,provocation/retaliation,cause,provoked
mitigating_foranledningen for saken,1,mitigating_foranledningen for saken,mitigating,foranledningen for saken,the cause of the case,DELETE,
mitigating_saken har trukket ut i tid,1,mitigating_saken har trukket ut i tid,mitigating,saken har trukket ut i tid,the case has dragged on in time,processing_time,
mitigating_prosessøkonomisk besparelse,1,mitigating_prosessøkonomisk besparelse,mitigating,prosessøkonomisk besparelse,process economic savings,DELETE,
mitigating_lav inntekt og ingen formue,1,mitigating_lav inntekt og ingen formue,mitigating,lav inntekt og ingen formue,low income and no wealth,burden,financial
mitigating_arbeidet gratis for å dekke gjeld,1,mitigating_arbeidet gratis for å dekke gjeld,mitigating,arbeidet gratis for å dekke gjeld,worked for free to cover debts,amends,
mitigating_særlig belastende soningsforhold,1,mitigating_særlig belastende soningsforhold,mitigating,særlig belastende soningsforhold,particularly burdensome conditions of imprisonment,burden,challenges
mitigating_positive utvikling,1,mitigating_positive utvikling,mitigating,positive utvikling,positive development,potential_rehabilitation,
mitigating_erkjennelse av straffskyld,1,mitigating_erkjennelse av straffskyld,mitigating,erkjennelse av straffskyld,admission of guilt,confession,
mitigating_truslene fremkom spontant og uten tanker på realisering,1,mitigating_truslene fremkom spontant og uten tanker på realisering,mitigating,truslene fremkom spontant og uten tanker på realisering,the threats appeared spontaneously and without thought of realisation,minor,impulsive
mitigating_helse og høye alder,1,mitigating_helse og høye alder,mitigating,helse og høye alder,health and old age,burden,health
mitigating_ingen plan om å betale for sex,1,mitigating_ingen plan om å betale for sex,mitigating,ingen plan om å betale for sex,no plan to pay for sex,minor,no_premeditation
mitigating_bidratt til sakens oppklaring,1,mitigating_bidratt til sakens oppklaring,mitigating,bidratt til sakens oppklaring,contributed to the clarification of the case,confession,aided_law_enforcement
mitigating_saksbehandlingstiden,1,mitigating_saksbehandlingstiden,mitigating,saksbehandlingstiden,the processing time,processing_time,
mitigating_personlige problemer,1,mitigating_personlige problemer,mitigating,personlige problemer,personal problems,burden,challenges
mitigating_lovbruddet i betydelig grad foranlediget av forutgående atferd,1,mitigating_lovbruddet i betydelig grad foranlediget av forutgående atferd,mitigating,lovbruddet i betydelig grad foranlediget av forutgående atferd,the offense was substantially prompted by prior conduct,cause,provoked
mitigating_gjenopprette skaden,1,mitigating_gjenopprette skaden,mitigating,gjenopprette skaden,restore the damage,amends,
mitigating_begrenset vekt i formildende retning,1,mitigating_begrenset vekt i formildende retning,mitigating,begrenset vekt i formildende retning,limited weight in mitigating direction,DELETE,
mitigating_redusert virkelighetsforståelse grunnet rusutløst psykose,1,mitigating_redusert virkelighetsforståelse grunnet rusutløst psykose,mitigating,redusert virkelighetsforståelse grunnet rusutløst psykose,reduced understanding of reality due to drug-induced psychosis,mental,substance_abuse
mitigating_ingen vinning av heleriet,1,mitigating_ingen vinning av heleriet,mitigating,ingen vinning av heleriet,no gain from the healing,minor,no_personal_gain
mitigating_personlige konsekvenser,1,mitigating_personlige konsekvenser,mitigating,personlige konsekvenser,personal consequences,DELETE,
mitigating_særlige personlige forhold,1,mitigating_særlige personlige forhold,mitigating,særlige personlige forhold,special personal circumstances,burden,challenges
mitigating_erkjent straffeskyld,1,mitigating_erkjent straffeskyld,mitigating,erkjent straffeskyld,admitted criminal guilt,confession,
mitigating_samarbeid med myndighetene,1,mitigating_samarbeid med myndighetene,mitigating,samarbeid med myndighetene,cooperation with the authorities,confession,aided_law_enforcement
mitigating_gode muligheter for rehabilitering,1,mitigating_gode muligheter for rehabilitering,mitigating,gode muligheter for rehabilitering,good opportunities for rehabilitation,potential_rehabilitation,potential
mitigating_lengre liggetid,1,mitigating_lengre liggetid,mitigating,lengre liggetid,longer stay,processing_time,
mitigating_kjøringen har skjedd på el-sparkesykkel,1,mitigating_kjøringen har skjedd på el-sparkesykkel,mitigating,kjøringen har skjedd på el-sparkesykkel,the ride has taken place on an electric scooter,DELETE,
mitigating_personlige forutsetninger,1,mitigating_personlige forutsetninger,mitigating,personlige forutsetninger,personal assumptions,DELETE,
mitigating_tilbakelevering av tyvgods,1,mitigating_tilbakelevering av tyvgods,mitigating,tilbakelevering av tyvgods,return of stolen goods,amends,
mitigating_det hadde gått 2 ½ år siden handlingen,1,mitigating_det hadde gått 2 ½ år siden handlingen,mitigating,det hadde gått 2 ½ år siden handlingen,2 ½ years had passed since the act,processing_time,
mitigating_lav styrkegrad på narkotika,1,mitigating_lav styrkegrad på narkotika,mitigating,lav styrkegrad på narkotika,low drug strength,minor,drugs
mitigating_lavpromille,1,mitigating_lavpromille,mitigating,lavpromille,low blood alcohol level,minor,intoxication
mitigating_redusert evne til realistiske vurderinger,1,mitigating_redusert evne til realistiske vurderinger,mitigating,redusert evne til realistiske vurderinger,reduced ability to make realistic assessments,mental,
mitigating_overskredet grensene for nødverge,1,mitigating_overskredet grensene for nødverge,mitigating,overskredet grensene for nødverge,exceeded the limits for emergency guardians,DELETE,
mitigating_forsøkshandling,1,mitigating_forsøkshandling,mitigating,forsøkshandling,experimental action,DELETE,
