"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_tyverier mot mange fornærmede",1,"aggravating_tyverier mot mange fornærmede","aggravating","tyverier mot mange fornærmede"
"aggravating_profesjonelt utført",1,"aggravating_profesjonelt utført","aggravating","profesjonelt utført"
"aggravating_tyverier av en viss verdi",1,"aggravating_tyverier av en viss verdi","aggravating","tyverier av en viss verdi"
"aggravating_farlige forbikjøringer",1,"aggravating_farlige forbikjøringer","aggravating","farlige forbikjøringer"
"aggravating_trafikkfarlig atferd",1,"aggravating_trafikkfarlig atferd","aggravating","trafikkfarlig atferd"
"aggravating_forstyrrelse av ro og orden",1,"aggravating_forstyrrelse av ro og orden","aggravating","forstyrrelse av ro og orden"
"aggravating_bruk av farlige redskaper",1,"aggravating_bruk av farlige redskaper","aggravating","bruk av farlige redskaper"
"aggravating_trusler mot mindreårig",1,"aggravating_trusler mot mindreårig","aggravating","trusler mot mindreårig"
"aggravating_bilder og film av overgrep",1,"aggravating_bilder og film av overgrep","aggravating","bilder og film av overgrep"
"aggravating_planlegging",1,"aggravating_planlegging","aggravating","planlegging"
"aggravating_oppsøkte fornærmede på hans arbeidsplass",1,"aggravating_oppsøkte fornærmede på hans arbeidsplass","aggravating","oppsøkte fornærmede på hans arbeidsplass"
"aggravating_betydelig promille",1,"aggravating_betydelig promille","aggravating","betydelig promille"
"aggravating_vold og trusler mot to politibetjenter",1,"aggravating_vold og trusler mot to politibetjenter","aggravating","vold og trusler mot to politibetjenter"
"aggravating_seksuell omgang med et forsvarsløst offer",1,"aggravating_seksuell omgang med et forsvarsløst offer","aggravating","seksuell omgang med et forsvarsløst offer"
"aggravating_grove skildringer av seksuelle overgrep",1,"aggravating_grove skildringer av seksuelle overgrep","aggravating","grove skildringer av seksuelle overgrep"
"aggravating_særlig alvorlig",1,"aggravating_særlig alvorlig","aggravating","særlig alvorlig"
"aggravating_svart økonomi",1,"aggravating_svart økonomi","aggravating","svart økonomi"
"aggravating_utnyttelse av sårbare ofre",1,"aggravating_utnyttelse av sårbare ofre","aggravating","utnyttelse av sårbare ofre"
"aggravating_voldsutøvelsen pågikk over en viss tid",1,"aggravating_voldsutøvelsen pågikk over en viss tid","aggravating","voldsutøvelsen pågikk over en viss tid"
"aggravating_oppbevaring på offentlig sted",1,"aggravating_oppbevaring på offentlig sted","aggravating","oppbevaring på offentlig sted"
"aggravating_prøveløslatelse",1,"aggravating_prøveløslatelse","aggravating","prøveløslatelse"
"aggravating_lav terskel for å begå vold",1,"aggravating_lav terskel for å begå vold","aggravating","lav terskel for å begå vold"
"aggravating_farepotensialet betydelig",1,"aggravating_farepotensialet betydelig","aggravating","farepotensialet betydelig"
"aggravating_profesjonelt produksjonsanlegg",1,"aggravating_profesjonelt produksjonsanlegg","aggravating","profesjonelt produksjonsanlegg"
"aggravating_produksjon av narkotika",1,"aggravating_produksjon av narkotika","aggravating","produksjon av narkotika"
"aggravating_planlagt fremgangsmåte",1,"aggravating_planlagt fremgangsmåte","aggravating","planlagt fremgangsmåte"
"aggravating_mange mennesker til stede",1,"aggravating_mange mennesker til stede","aggravating","mange mennesker til stede"
"aggravating_alvorlig vold med kroppsskade",1,"aggravating_alvorlig vold med kroppsskade","aggravating","alvorlig vold med kroppsskade"
"aggravating_krenkende syn på kvinner",1,"aggravating_krenkende syn på kvinner","aggravating","krenkende syn på kvinner"
"aggravating_nedlatende fordommer",1,"aggravating_nedlatende fordommer","aggravating","nedlatende fordommer"
"aggravating_ringeakt",1,"aggravating_ringeakt","aggravating","ringeakt"
"aggravating_videreformidling av materialet",1,"aggravating_videreformidling av materialet","aggravating","videreformidling av materialet"
"aggravating_barn i bilen",1,"aggravating_barn i bilen","aggravating","barn i bilen"
"aggravating_forsøk på kroppsskade",1,"aggravating_forsøk på kroppsskade","aggravating","forsøk på kroppsskade"
"aggravating_varer bestemt til omsetning",1,"aggravating_varer bestemt til omsetning","aggravating","varer bestemt til omsetning"
"aggravating_høy grad av ruspåvirkning",1,"aggravating_høy grad av ruspåvirkning","aggravating","høy grad av ruspåvirkning"
"aggravating_bruk av våpen på offentlig sted",1,"aggravating_bruk av våpen på offentlig sted","aggravating","bruk av våpen på offentlig sted"
"aggravating_planmessige",1,"aggravating_planmessige","aggravating","planmessige"
"aggravating_svært farlige",1,"aggravating_svært farlige","aggravating","svært farlige"
"aggravating_utnyttet et omsorgs- og tillitsforhold",1,"aggravating_utnyttet et omsorgs- og tillitsforhold","aggravating","utnyttet et omsorgs- og tillitsforhold"
"aggravating_forårsaket betydelig skade",1,"aggravating_forårsaket betydelig skade","aggravating","forårsaket betydelig skade"
"aggravating_kroppskrenkelse mot to personer",1,"aggravating_kroppskrenkelse mot to personer","aggravating","kroppskrenkelse mot to personer"
"aggravating_hatfulle ytringer",1,"aggravating_hatfulle ytringer","aggravating","hatfulle ytringer"
"aggravating_forulempinger av offentlig tjenestepersoner",1,"aggravating_forulempinger av offentlig tjenestepersoner","aggravating","forulempinger av offentlig tjenestepersoner"
"aggravating_grovere trusler",1,"aggravating_grovere trusler","aggravating","grovere trusler"
"aggravating_voldsepisoder på offentlig sted",1,"aggravating_voldsepisoder på offentlig sted","aggravating","voldsepisoder på offentlig sted"
"aggravating_trusler mot barn",1,"aggravating_trusler mot barn","aggravating","trusler mot barn"
"aggravating_kontroll av offer",1,"aggravating_kontroll av offer","aggravating","kontroll av offer"
"aggravating_familie til stede",1,"aggravating_familie til stede","aggravating","familie til stede"
"aggravating_utnyttelse av sårbarhet",1,"aggravating_utnyttelse av sårbarhet","aggravating","utnyttelse av sårbarhet"
"aggravating_inntak av narkotika over straffbarhetsgrensen",1,"aggravating_inntak av narkotika over straffbarhetsgrensen","aggravating","inntak av narkotika over straffbarhetsgrensen"
"aggravating_kjøring forbi vegsperring",1,"aggravating_kjøring forbi vegsperring","aggravating","kjøring forbi vegsperring"
"aggravating_betydelig skade",1,"aggravating_betydelig skade","aggravating","betydelig skade"
"aggravating_umotivert vold",1,"aggravating_umotivert vold","aggravating","umotivert vold"
"aggravating_likhetshensynet",1,"aggravating_likhetshensynet","aggravating","likhetshensynet"
"aggravating_hensynet til trafikksikkerheten",1,"aggravating_hensynet til trafikksikkerheten","aggravating","hensynet til trafikksikkerheten"
"aggravating_brudd på trafikkreglene",1,"aggravating_brudd på trafikkreglene","aggravating","brudd på trafikkreglene"
"aggravating_forskjell på tiltalte og fornærmede i fysisk forstand",1,"aggravating_forskjell på tiltalte og fornærmede i fysisk forstand","aggravating","forskjell på tiltalte og fornærmede i fysisk forstand"
"aggravating_bruk og besittelse av narkotika",1,"aggravating_bruk og besittelse av narkotika","aggravating","bruk og besittelse av narkotika"
"aggravating_bæring av våpenetterligning og kniv på offentlig sted",1,"aggravating_bæring av våpenetterligning og kniv på offentlig sted","aggravating","bæring av våpenetterligning og kniv på offentlig sted"
"aggravating_ulovlig innehatt ammunisjon",1,"aggravating_ulovlig innehatt ammunisjon","aggravating","ulovlig innehatt ammunisjon"
"aggravating_hjemmet",1,"aggravating_hjemmet","aggravating","hjemmet"
"aggravating_kjøring over ikke betydelige distanser",1,"aggravating_kjøring over ikke betydelige distanser","aggravating","kjøring over ikke betydelige distanser"
"aggravating_i felles hjem",1,"aggravating_i felles hjem","aggravating","i felles hjem"
"aggravating_samlivsproblem",1,"aggravating_samlivsproblem","aggravating","samlivsproblem"
"aggravating_begått fra privatpersoner i forretninger",1,"aggravating_begått fra privatpersoner i forretninger","aggravating","begått fra privatpersoner i forretninger"
"aggravating_vesentlig mer alvorlig resultat kunne ha blitt følgen",1,"aggravating_vesentlig mer alvorlig resultat kunne ha blitt følgen","aggravating","vesentlig mer alvorlig resultat kunne ha blitt følgen"
"aggravating_passasjer med i bilen",1,"aggravating_passasjer med i bilen","aggravating","passasjer med i bilen"
"aggravating_flere påfølgende voldshandlinger",1,"aggravating_flere påfølgende voldshandlinger","aggravating","flere påfølgende voldshandlinger"
"aggravating_krasjet med politibil",1,"aggravating_krasjet med politibil","aggravating","krasjet med politibil"
"aggravating_kjøretur over lengre strekning",1,"aggravating_kjøretur over lengre strekning","aggravating","kjøretur over lengre strekning"
"aggravating_tidligere straffet for voldsutøvelse",1,"aggravating_tidligere straffet for voldsutøvelse","aggravating","tidligere straffet for voldsutøvelse"
"aggravating_voldsutøvelse ved bruk av våpen",1,"aggravating_voldsutøvelse ved bruk av våpen","aggravating","voldsutøvelse ved bruk av våpen"
"aggravating_passasjer under ruspåvirkning",1,"aggravating_passasjer under ruspåvirkning","aggravating","passasjer under ruspåvirkning"
"aggravating_passasjer under kjøreturen",1,"aggravating_passasjer under kjøreturen","aggravating","passasjer under kjøreturen"
"mitigating_risiko for gjengjeldelse",1,"mitigating_risiko for gjengjeldelse","mitigating","risiko for gjengjeldelse"
"mitigating_bidrag til oppklaring av andre lovbrudd",1,"mitigating_bidrag til oppklaring av andre lovbrudd","mitigating","bidrag til oppklaring av andre lovbrudd"
"mitigating_avhengighetsforhold",1,"mitigating_avhengighetsforhold","mitigating","avhengighetsforhold"
"mitigating_handlet under et visst press",1,"mitigating_handlet under et visst press","mitigating","handlet under et visst press"
"mitigating_ikke sentral rolle",1,"mitigating_ikke sentral rolle","mitigating","ikke sentral rolle"
"mitigating_gjengjeldelse",1,"mitigating_gjengjeldelse","mitigating","gjengjeldelse"
"mitigating_provokasjoner",1,"mitigating_provokasjoner","mitigating","provokasjoner"
"mitigating_langvarig rusmisbruk",1,"mitigating_langvarig rusmisbruk","mitigating","langvarig rusmisbruk"
"mitigating_impulsivitet",1,"mitigating_impulsivitet","mitigating","impulsivitet"
"mitigating_tiltaltes begrensede egeninteresse i bedrageriet",1,"mitigating_tiltaltes begrensede egeninteresse i bedrageriet","mitigating","tiltaltes begrensede egeninteresse i bedrageriet"
"mitigating_til eget bruk",1,"mitigating_til eget bruk","mitigating","til eget bruk"
"mitigating_handlet i uaktsom rettsuvitenhet",1,"mitigating_handlet i uaktsom rettsuvitenhet","mitigating","handlet i uaktsom rettsuvitenhet"
"mitigating_salg for å finansiere eget misbruk",1,"mitigating_salg for å finansiere eget misbruk","mitigating","salg for å finansiere eget misbruk"
"mitigating_avtale om nedbetaling",1,"mitigating_avtale om nedbetaling","mitigating","avtale om nedbetaling"
"mitigating_samarbeidet med politi og påtalemyndighet",1,"mitigating_samarbeidet med politi og påtalemyndighet","mitigating","samarbeidet med politi og påtalemyndighet"
"mitigating_uaktsom rettsvillfarelse",1,"mitigating_uaktsom rettsvillfarelse","mitigating","uaktsom rettsvillfarelse"
"mitigating_rusbruk",1,"mitigating_rusbruk","mitigating","rusbruk"
"mitigating_ung og tidligere ustraffet",1,"mitigating_ung og tidligere ustraffet","mitigating","ung og tidligere ustraffet"
"mitigating_vanskelig oppvekst",1,"mitigating_vanskelig oppvekst","mitigating","vanskelig oppvekst"
"mitigating_dårlig psykisk helse",1,"mitigating_dårlig psykisk helse","mitigating","dårlig psykisk helse"
"mitigating_erkjennelse av de straffbare forholdene",1,"mitigating_erkjennelse av de straffbare forholdene","mitigating","erkjennelse av de straffbare forholdene"
"mitigating_kontroll over rusbruk",1,"mitigating_kontroll over rusbruk","mitigating","kontroll over rusbruk"
"mitigating_personlige økonomiske forhold",1,"mitigating_personlige økonomiske forhold","mitigating","personlige økonomiske forhold"
"mitigating_saksbehandlingsfeil",1,"mitigating_saksbehandlingsfeil","mitigating","saksbehandlingsfeil"
"mitigating_betalt tilbake deler av beløpet",1,"mitigating_betalt tilbake deler av beløpet","mitigating","betalt tilbake deler av beløpet"
"mitigating_erkjennelse av de faktiske forhold",1,"mitigating_erkjennelse av de faktiske forhold","mitigating","erkjennelse av de faktiske forhold"
"mitigating_tiltaltes erkjennelse",1,"mitigating_tiltaltes erkjennelse","mitigating","tiltaltes erkjennelse"
"mitigating_provokasjon",1,"mitigating_provokasjon","mitigating","provokasjon"
"mitigating_beklaget hendelsen",1,"mitigating_beklaget hendelsen","mitigating","beklaget hendelsen"
"mitigating_truslene ikke fremsatt direkte",1,"mitigating_truslene ikke fremsatt direkte","mitigating","truslene ikke fremsatt direkte"
"mitigating_bevissthetsforstyrrelse",1,"mitigating_bevissthetsforstyrrelse","mitigating","bevissthetsforstyrrelse"
"mitigating_provokasjon/gjengjeldelse",1,"mitigating_provokasjon/gjengjeldelse","mitigating","provokasjon/gjengjeldelse"
"mitigating_foranledningen for saken",1,"mitigating_foranledningen for saken","mitigating","foranledningen for saken"
"mitigating_saken har trukket ut i tid",1,"mitigating_saken har trukket ut i tid","mitigating","saken har trukket ut i tid"
"mitigating_prosessøkonomisk besparelse",1,"mitigating_prosessøkonomisk besparelse","mitigating","prosessøkonomisk besparelse"
"mitigating_lav inntekt og ingen formue",1,"mitigating_lav inntekt og ingen formue","mitigating","lav inntekt og ingen formue"
"mitigating_arbeidet gratis for å dekke gjeld",1,"mitigating_arbeidet gratis for å dekke gjeld","mitigating","arbeidet gratis for å dekke gjeld"
"mitigating_særlig belastende soningsforhold",1,"mitigating_særlig belastende soningsforhold","mitigating","særlig belastende soningsforhold"
"mitigating_positive utvikling",1,"mitigating_positive utvikling","mitigating","positive utvikling"
"mitigating_erkjennelse av straffskyld",1,"mitigating_erkjennelse av straffskyld","mitigating","erkjennelse av straffskyld"
"mitigating_truslene fremkom spontant og uten tanker på realisering",1,"mitigating_truslene fremkom spontant og uten tanker på realisering","mitigating","truslene fremkom spontant og uten tanker på realisering"
"mitigating_helse og høye alder",1,"mitigating_helse og høye alder","mitigating","helse og høye alder"
"mitigating_ingen plan om å betale for sex",1,"mitigating_ingen plan om å betale for sex","mitigating","ingen plan om å betale for sex"
"mitigating_bidratt til sakens oppklaring",1,"mitigating_bidratt til sakens oppklaring","mitigating","bidratt til sakens oppklaring"
"mitigating_saksbehandlingstiden",1,"mitigating_saksbehandlingstiden","mitigating","saksbehandlingstiden"
"mitigating_personlige problemer",1,"mitigating_personlige problemer","mitigating","personlige problemer"
"mitigating_lovbruddet i betydelig grad foranlediget av forutgående atferd",1,"mitigating_lovbruddet i betydelig grad foranlediget av forutgående atferd","mitigating","lovbruddet i betydelig grad foranlediget av forutgående atferd"
"mitigating_gjenopprette skaden",1,"mitigating_gjenopprette skaden","mitigating","gjenopprette skaden"
"mitigating_begrenset vekt i formildende retning",1,"mitigating_begrenset vekt i formildende retning","mitigating","begrenset vekt i formildende retning"
"mitigating_redusert virkelighetsforståelse grunnet rusutløst psykose",1,"mitigating_redusert virkelighetsforståelse grunnet rusutløst psykose","mitigating","redusert virkelighetsforståelse grunnet rusutløst psykose"
"mitigating_ingen vinning av heleriet",1,"mitigating_ingen vinning av heleriet","mitigating","ingen vinning av heleriet"
"mitigating_personlige konsekvenser",1,"mitigating_personlige konsekvenser","mitigating","personlige konsekvenser"
"mitigating_særlige personlige forhold",1,"mitigating_særlige personlige forhold","mitigating","særlige personlige forhold"
"mitigating_erkjent straffeskyld",1,"mitigating_erkjent straffeskyld","mitigating","erkjent straffeskyld"
"mitigating_samarbeid med myndighetene",1,"mitigating_samarbeid med myndighetene","mitigating","samarbeid med myndighetene"
"mitigating_gode muligheter for rehabilitering",1,"mitigating_gode muligheter for rehabilitering","mitigating","gode muligheter for rehabilitering"
"mitigating_lengre liggetid",1,"mitigating_lengre liggetid","mitigating","lengre liggetid"
"mitigating_kjøringen har skjedd på el-sparkesykkel",1,"mitigating_kjøringen har skjedd på el-sparkesykkel","mitigating","kjøringen har skjedd på el-sparkesykkel"
"mitigating_personlige forutsetninger",1,"mitigating_personlige forutsetninger","mitigating","personlige forutsetninger"
"mitigating_tilbakelevering av tyvgods",1,"mitigating_tilbakelevering av tyvgods","mitigating","tilbakelevering av tyvgods"
"mitigating_det hadde gått 2 ½ år siden handlingen",1,"mitigating_det hadde gått 2 ½ år siden handlingen","mitigating","det hadde gått 2 ½ år siden handlingen"
"mitigating_lav styrkegrad på narkotika",1,"mitigating_lav styrkegrad på narkotika","mitigating","lav styrkegrad på narkotika"
"mitigating_lavpromille",1,"mitigating_lavpromille","mitigating","lavpromille"
"mitigating_redusert evne til realistiske vurderinger",1,"mitigating_redusert evne til realistiske vurderinger","mitigating","redusert evne til realistiske vurderinger"
"mitigating_overskredet grensene for nødverge",1,"mitigating_overskredet grensene for nødverge","mitigating","overskredet grensene for nødverge"
"mitigating_forsøkshandling",1,"mitigating_forsøkshandling","mitigating","forsøkshandling"
"mitigating_rusproblemer",1,"mitigating_rusproblemer","mitigating","rusproblemer"
"mitigating_bidrag til sakens oppklaring",1,"mitigating_bidrag til sakens oppklaring","mitigating","bidrag til sakens oppklaring"
"mitigating_ingen farlige situasjoner",1,"mitigating_ingen farlige situasjoner","mitigating","ingen farlige situasjoner"
"mitigating_alene i bilen",1,"mitigating_alene i bilen","mitigating","alene i bilen"
"mitigating_kort strekning",1,"mitigating_kort strekning","mitigating","kort strekning"
"mitigating_deler av beløpene er tilbakebetalt",1,"mitigating_deler av beløpene er tilbakebetalt","mitigating","deler av beløpene er tilbakebetalt"
"mitigating_overhengende fare",1,"mitigating_overhengende fare","mitigating","overhengende fare"
"mitigating_ingen spredningsfare",1,"mitigating_ingen spredningsfare","mitigating","ingen spredningsfare"
"mitigating_lav styrkegrad på stoffet",1,"mitigating_lav styrkegrad på stoffet","mitigating","lav styrkegrad på stoffet"
"mitigating_forvirringstilstand etter mulig epileptisk anfall",1,"mitigating_forvirringstilstand etter mulig epileptisk anfall","mitigating","forvirringstilstand etter mulig epileptisk anfall"
"mitigating_spesielle omstendigheter",1,"mitigating_spesielle omstendigheter","mitigating","spesielle omstendigheter"
"mitigating_erkjennelse av kjøring",1,"mitigating_erkjennelse av kjøring","mitigating","erkjennelse av kjøring"
"mitigating_gjør opp for seg",1,"mitigating_gjør opp for seg","mitigating","gjør opp for seg"
"mitigating_første gangs overtredelse",1,"mitigating_første gangs overtredelse","mitigating","første gangs overtredelse"
"mitigating_samarbeidsvilje",1,"mitigating_samarbeidsvilje","mitigating","samarbeidsvilje"
"mitigating_rusproblem",1,"mitigating_rusproblem","mitigating","rusproblem"
"mitigating_ingen reell spredningsfare",1,"mitigating_ingen reell spredningsfare","mitigating","ingen reell spredningsfare"
"mitigating_uprofesjonelt preg",1,"mitigating_uprofesjonelt preg","mitigating","uprofesjonelt preg"
"mitigating_lite beløp",1,"mitigating_lite beløp","mitigating","lite beløp"
"mitigating_rusavhengighet",1,"mitigating_rusavhengighet","mitigating","rusavhengighet"
"mitigating_ingen påfallende kjøreadferd eller farlige situasjoner",1,"mitigating_ingen påfallende kjøreadferd eller farlige situasjoner","mitigating","ingen påfallende kjøreadferd eller farlige situasjoner"
"mitigating_lang varetektstid",1,"mitigating_lang varetektstid","mitigating","lang varetektstid"
"mitigating_ingen intensjon om å skade",1,"mitigating_ingen intensjon om å skade","mitigating","ingen intensjon om å skade"
"mitigating_medvirket til at maleri kom til rette",1,"mitigating_medvirket til at maleri kom til rette","mitigating","medvirket til at maleri kom til rette"
"mitigating_helt spesielle grunner",1,"mitigating_helt spesielle grunner","mitigating","helt spesielle grunner"
"mitigating_spontan handling",1,"mitigating_spontan handling","mitigating","spontan handling"
"mitigating_ikke bestridt politiets fremstilling",1,"mitigating_ikke bestridt politiets fremstilling","mitigating","ikke bestridt politiets fremstilling"
"mitigating_samarbeid",1,"mitigating_samarbeid","mitigating","samarbeid"
"mitigating_beklaget oppførselen",1,"mitigating_beklaget oppførselen","mitigating","beklaget oppførselen"
"mitigating_impulshandling",1,"mitigating_impulshandling","mitigating","impulshandling"
"mitigating_mindre alvorlig",1,"mitigating_mindre alvorlig","mitigating","mindre alvorlig"
"mitigating_følte seg presset til å kjøre bilen",1,"mitigating_følte seg presset til å kjøre bilen","mitigating","følte seg presset til å kjøre bilen"
"mitigating_ingen trusler",1,"mitigating_ingen trusler","mitigating","ingen trusler"
"mitigating_bidratt til oppklaring",1,"mitigating_bidratt til oppklaring","mitigating","bidratt til oppklaring"
"mitigating_ingen konkret spredningsrisiko",1,"mitigating_ingen konkret spredningsrisiko","mitigating","ingen konkret spredningsrisiko"
"mitigating_engangsforeteelse",1,"mitigating_engangsforeteelse","mitigating","engangsforeteelse"
"mitigating_frivillig betalt oppreisningserstatning",1,"mitigating_frivillig betalt oppreisningserstatning","mitigating","frivillig betalt oppreisningserstatning"
"mitigating_overskridelse av nødrett",1,"mitigating_overskridelse av nødrett","mitigating","overskridelse av nødrett"
"mitigating_ønske om å gjøre opp for seg",1,"mitigating_ønske om å gjøre opp for seg","mitigating","ønske om å gjøre opp for seg"
"mitigating_økonomiske forhold",1,"mitigating_økonomiske forhold","mitigating","økonomiske forhold"
"mitigating_erkjent å ha slått kontrolløren",1,"mitigating_erkjent å ha slått kontrolløren","mitigating","erkjent å ha slått kontrolløren"
"mitigating_gjennomført program mot ruspåvirket kjøring",1,"mitigating_gjennomført program mot ruspåvirket kjøring","mitigating","gjennomført program mot ruspåvirket kjøring"
"mitigating_tiltalte tok umiddelbar ansvar",1,"mitigating_tiltalte tok umiddelbar ansvar","mitigating","tiltalte tok umiddelbar ansvar"
"aggravating_grov økonomisk utruskap",0,"aggravating_grov økonomisk utruskap","aggravating","grov økonomisk utruskap"
"aggravating_brot på bokføringslova",0,"aggravating_brot på bokføringslova","aggravating","brot på bokføringslova"
"aggravating_krenkande åtferd",0,"aggravating_krenkande åtferd","aggravating","krenkande åtferd"
"aggravating_brudd på besøksforbod",0,"aggravating_brudd på besøksforbod","aggravating","brudd på besøksforbod"
"aggravating_grov kroppskrenking",0,"aggravating_grov kroppskrenking","aggravating","grov kroppskrenking"
"aggravating_mishandling i nære relasjonar",0,"aggravating_mishandling i nære relasjonar","aggravating","mishandling i nære relasjonar"
"aggravating_trugsmål",0,"aggravating_trugsmål","aggravating","trugsmål"
"aggravating_sjalusi",0,"aggravating_sjalusi","aggravating","sjalusi"
"aggravating_angrep i eget hjem",0,"aggravating_angrep i eget hjem","aggravating","angrep i eget hjem"
"aggravating_seksuelt press",0,"aggravating_seksuelt press","aggravating","seksuelt press"
"aggravating_fortsatte kvelningshandlingene",0,"aggravating_fortsatte kvelningshandlingene","aggravating","fortsatte kvelningshandlingene"
"aggravating_hovedrolle i ranet",0,"aggravating_hovedrolle i ranet","aggravating","hovedrolle i ranet"
"aggravating_trusler mot familie",0,"aggravating_trusler mot familie","aggravating","trusler mot familie"
"aggravating_alvorlig trusler",0,"aggravating_alvorlig trusler","aggravating","alvorlig trusler"
"aggravating_forsøk på innbrudd",0,"aggravating_forsøk på innbrudd","aggravating","forsøk på innbrudd"
"aggravating_privat rettshåndhevelse",0,"aggravating_privat rettshåndhevelse","aggravating","privat rettshåndhevelse"
"aggravating_kjøring i et sentrumsområde",0,"aggravating_kjøring i et sentrumsområde","aggravating","kjøring i et sentrumsområde"
"aggravating_blandet medisinbruk med illegale stoffer",0,"aggravating_blandet medisinbruk med illegale stoffer","aggravating","blandet medisinbruk med illegale stoffer"
"aggravating_fornærmede besvimte og falt ned på asfalten",0,"aggravating_fornærmede besvimte og falt ned på asfalten","aggravating","fornærmede besvimte og falt ned på asfalten"
"aggravating_varig arr i ansiktet",0,"aggravating_varig arr i ansiktet","aggravating","varig arr i ansiktet"
"aggravating_alkoholrelatert vold",0,"aggravating_alkoholrelatert vold","aggravating","alkoholrelatert vold"
"aggravating_uforsvarlig oppbevaring av ammunisjon",0,"aggravating_uforsvarlig oppbevaring av ammunisjon","aggravating","uforsvarlig oppbevaring av ammunisjon"
"aggravating_hurtig kjøring",0,"aggravating_hurtig kjøring","aggravating","hurtig kjøring"
"aggravating_passasjer ved alle tilfellene",0,"aggravating_passasjer ved alle tilfellene","aggravating","passasjer ved alle tilfellene"
"aggravating_sentral rolle i hendelsesforløpet",0,"aggravating_sentral rolle i hendelsesforløpet","aggravating","sentral rolle i hendelsesforløpet"
"aggravating_fornærmedes alder",0,"aggravating_fornærmedes alder","aggravating","fornærmedes alder"
"aggravating_maktbruk og tvang",0,"aggravating_maktbruk og tvang","aggravating","maktbruk og tvang"
"aggravating_grov legemsbeskadigelse under skjerpende omstendigheter",0,"aggravating_grov legemsbeskadigelse under skjerpende omstendigheter","aggravating","grov legemsbeskadigelse under skjerpende omstendigheter"
"aggravating_påvirket av rusmidler",0,"aggravating_påvirket av rusmidler","aggravating","påvirket av rusmidler"
"aggravating_voldsutøvelse på et utested",0,"aggravating_voldsutøvelse på et utested","aggravating","voldsutøvelse på et utested"
"aggravating_konkret spredningsfare",0,"aggravating_konkret spredningsfare","aggravating","konkret spredningsfare"
"aggravating_kjøring i sentralt og tettbebygd strøk",0,"aggravating_kjøring i sentralt og tettbebygd strøk","aggravating","kjøring i sentralt og tettbebygd strøk"
"aggravating_vinglete kjøring",0,"aggravating_vinglete kjøring","aggravating","vinglete kjøring"
"aggravating_livsvarig krenkelse",0,"aggravating_livsvarig krenkelse","aggravating","livsvarig krenkelse"
"aggravating_betydelig spredning",0,"aggravating_betydelig spredning","aggravating","betydelig spredning"
"aggravating_identifiserbar fornærmet",0,"aggravating_identifiserbar fornærmet","aggravating","identifiserbar fornærmet"
"aggravating_alvorlig overgrep",0,"aggravating_alvorlig overgrep","aggravating","alvorlig overgrep"
"aggravating_brannstiftelse",0,"aggravating_brannstiftelse","aggravating","brannstiftelse"
"aggravating_maskerte",0,"aggravating_maskerte","aggravating","maskerte"
"aggravating_andre til stede",0,"aggravating_andre til stede","aggravating","andre til stede"
"aggravating_arbeidet ulovlig",0,"aggravating_arbeidet ulovlig","aggravating","arbeidet ulovlig"
"aggravating_mye bryderi",0,"aggravating_mye bryderi","aggravating","mye bryderi"
"aggravating_store tap",0,"aggravating_store tap","aggravating","store tap"
"aggravating_betydelig risiko for andre veifarende",0,"aggravating_betydelig risiko for andre veifarende","aggravating","betydelig risiko for andre veifarende"
"aggravating_risiko for spredning av bilder",0,"aggravating_risiko for spredning av bilder","aggravating","risiko for spredning av bilder"
"aggravating_seksuelle overgrep",0,"aggravating_seksuelle overgrep","aggravating","seksuelle overgrep"
"aggravating_fortsatte straffbare forhold",0,"aggravating_fortsatte straffbare forhold","aggravating","fortsatte straffbare forhold"
"aggravating_nye lovbrudd under planlegging",0,"aggravating_nye lovbrudd under planlegging","aggravating","nye lovbrudd under planlegging"
"aggravating_handling over lang tid",0,"aggravating_handling over lang tid","aggravating","handling over lang tid"
"aggravating_organisert kriminell gruppe",0,"aggravating_organisert kriminell gruppe","aggravating","organisert kriminell gruppe"
"aggravating_mobil vinningskriminalitet",0,"aggravating_mobil vinningskriminalitet","aggravating","mobil vinningskriminalitet"
"aggravating_planlagt og beregnende preg",0,"aggravating_planlagt og beregnende preg","aggravating","planlagt og beregnende preg"
"aggravating_fartsovertredelsen",0,"aggravating_fartsovertredelsen","aggravating","fartsovertredelsen"
"aggravating_graden av ruspåvirkning",0,"aggravating_graden av ruspåvirkning","aggravating","graden av ruspåvirkning"
"aggravating_planmessig søkt etter materiale",0,"aggravating_planmessig søkt etter materiale","aggravating","planmessig søkt etter materiale"
"aggravating_delt materiale med andre i nettverk",0,"aggravating_delt materiale med andre i nettverk","aggravating","delt materiale med andre i nettverk"
"aggravating_gjentatte bedragerier",0,"aggravating_gjentatte bedragerier","aggravating","gjentatte bedragerier"
"aggravating_innførsel",0,"aggravating_innførsel","aggravating","innførsel"
"aggravating_forsøk på å forårsake betydelig skade",0,"aggravating_forsøk på å forårsake betydelig skade","aggravating","forsøk på å forårsake betydelig skade"
"aggravating_brudd på kontaktforbud",0,"aggravating_brudd på kontaktforbud","aggravating","brudd på kontaktforbud"
"aggravating_ran av en mobiltelefon på offentlig sted",0,"aggravating_ran av en mobiltelefon på offentlig sted","aggravating","ran av en mobiltelefon på offentlig sted"
"aggravating_allmennpreventive omsyn",0,"aggravating_allmennpreventive omsyn","aggravating","allmennpreventive omsyn"
